"LATITUDE","LONGITUDE","pre"
39.50930541,-76.16364241,1
39.51290087,-76.16152078,1
39.50667621,-76.1653617,1
39.50984345,-76.16322398,1
39.51388687,-76.16080999,1
39.35705606,-76.52819753,2
39.32155002,-76.50589228,53
39.3816007,-76.50123328,3
39.3344634,-76.48473501,6
39.32171395,-76.50599822,53
39.33500382,-76.48432329,6
39.35422719,-76.45276308,4
39.25375725,-76.66798353,19
39.35711413,-76.52803659,2
39.37681346,-76.50576353,3
39.35939993,-76.52549062,2
39.35939993,-76.52549062,2
39.35318189,-76.45387888,4
39.24860202,-76.67077303,19
39.31909738,-76.5116322,53
39.37629202,-76.50651053,3
39.28352224,-76.75304174,5
39.33446755,-76.48526073,6
39.28480214,-76.7592524,5
39.38445116,-76.49773031,3
39.35308752,-76.45400092,4
39.336991,-76.481712,6
39.31886082,-76.51129961,53
39.35709857,-76.52802452,2
39.3798885,-76.50284948,3
39.31940863,-76.51093483,53
39.35787732,-76.52710319,2
39.28342259,-76.75115883,5
39.3744374,-76.50875419,3
39.24868925,-76.67070866,19
39.28354196,-76.75353661,5
39.28345165,-76.75069213,5
39.38173743,-76.50099322,3
39.38173743,-76.50099322,3
39.35316945,-76.45419404,4
39.37424664,-76.50863886,3
39.35303256,-76.45434022,4
39.28410769,-76.75638914,5
39.2485397,-76.67077303,19
39.3813259,-76.50143981,3
39.28459765,-76.75754786,5
39.28395822,-76.75503731,5
39.28397483,-76.75287008,5
39.28375061,-76.74978822,5
39.53094156,-76.34997278,7
39.53233794,-76.34865582,7
38.94387203,-76.94102302,8
38.94032667,-76.940775,8
38.94386681,-76.94147766,8
39.60028405,-75.82792908,9
39.60027785,-75.82862511,9
39.59848189,-75.82032233,9
39.60056925,-75.82893759,9
39.60046178,-75.82843065,9
39.59981905,-75.82649946,9
39.60101048,-75.83104581,9
39.59930857,-75.82524955,9
39.59930857,-75.82524955,9
39.64199598,-77.72025235,10
39.64774949,-77.72491336,10
39.64331526,-77.71929882,10
39.64395785,-77.72073179,10
39.64738188,-77.72524595,10
39.6477846,-77.72491068,10
39.64575443,-77.72811055,10
39.6444574,-77.72170275,10
39.64513484,-77.72674263,10
39.64775775,-77.72491336,10
39.63875577,-77.72166386,10
39.64651859,-77.72596478,10
39.64439235,-77.7274923,10
39.64330699,-77.71931827,10
39.63801734,-77.72006527,10
39.64197584,-77.72024766,10
39.64392661,-77.72429913,10
39.64677882,-77.72639394,10
39.64791058,-77.72894472,10
39.64733644,-77.72528887,10
39.64733644,-77.72528887,10
39.10598739,-76.83977365,11
39.11593134,-76.83180749,11
39.11008335,-76.83758497,11
39.11893215,-76.82883963,11
39.11323633,-76.83454603,11
39.11323633,-76.83454603,11
39.11323633,-76.83454603,11
39.11323633,-76.83454603,11
39.11323633,-76.83454603,11
38.95063386,-76.96351737,12
38.33202891,-75.08921385,13
38.33177867,-75.0869065,13
38.99281428,-76.93309844,14
38.99084944,-76.93394065,14
38.98853535,-76.93517447,14
38.99564835,-76.93189681,14
38.36943686,-75.59488535,15
38.36582817,-75.59533864,15
38.37268159,-75.59337258,15
38.36311101,-75.5957222,15
38.36552638,-75.59548348,15
38.36729711,-75.59057638,15
38.35994577,-75.59731677,15
38.98846029,-76.93504572,14
38.98987274,-76.93444625,14
38.96979672,-76.93834215,20
38.99617833,-77.02912667,16
39.02155333,-77.012305,17
38.992996,-77.02717,16
38.98628167,-77.02696833,16
38.99150667,-77.02683833,16
38.99361833,-77.02660833,16
38.98887725,-77.02685237,16
39.02163432,-77.01216459,17
38.99764432,-77.02704012,16
39.020365,-77.01277,17
38.99732434,-77.02731371,16
38.98569167,-77.02673833,16
38.990735,-77.02665,16
38.99976333,-77.02590333,16
38.997555,-77.02683333,16
39.02033333,-77.01328667,17
39.02016624,-77.0127064,17
38.994665,-77.02704833,16
38.99502667,-77.02572667,16
38.99350333,-77.026545,16
38.99769122,-77.02699184,16
38.98448341,-77.0261094,16
38.99259167,-77.02651333,16
39.01980052,-77.01337695,17
38.99273333,-77.026605,16
38.992955,-77.02671289,16
38.98898833,-77.02691667,16
38.62708333,-76.910006,18
39.609865,-75.94393433,101
