LATITUDE,LONGITUDE,pre
39.60737339,-75.95129326,104
39.609865,-75.94393433,104
39.612896,-75.947268,104
39.6087255,-75.95021017,104
39.61223043,-75.94723105,104
39.60914433,-75.94795417,104
38.46991004,-76.78876,103
38.46991004,-76.78876,103
38.46991004,-76.78876,103
38.46991004,-76.78876,103
38.46991004,-76.78876,103
38.46991004,-76.78876,103
38.46991004,-76.78876,103
39.06792499,-77.07523137,102
39.06329864,-77.07331896,102
39.06304873,-77.07349062,102
39.063535,-77.07347167,102
39.06450833,-77.074015,102
39.03357,-77.0238,101
39.033415,-77.02409333,101
39.03588833,-77.02837,101
39.03350699,-77.02369004,101
39.03638333,-77.027125,101
39.0042447,-77.11063385,100
39.01030333,-77.11492167,100
39.00713667,-77.11219,100
39.009605,-77.11462167,100
39.00864833,-77.113435,100
39.00292738,-77.10989356,100
38.961205,-77.08555667,99
38.96293667,-77.08654,99
38.964665,-77.08758833,99
38.96594913,-77.08818644,99
38.96738392,-77.08868265,99
39.05046833,-77.07252167,98
39.05307167,-77.077145,98
39.04842167,-77.06903167,98
39.04960212,-77.0709157,98
39.05165333,-77.07509,98
39.05179833,-77.07453833,98
39.04942333,-77.07088667,98
39.0565611,-77.07360595,98
39.02520174,-77.04608917,97
39.01564833,-77.04175,97
39.02128167,-77.04459667,97
39.02128167,-77.04459667,97
39.02171333,-77.04463,97
39.02143,-77.04466,97
39.02143,-77.04466,97
39.02116754,-77.0445013,97
39.01950044,-77.04405069,97
39.03868633,-77.05080584,96
39.04081129,-77.05160379,96
39.04516101,-77.05215365,96
39.03660833,-77.05022833,96
39.0375,-77.05092667,96
39.04270333,-77.051935,96
39.041405,-77.058375,96
39.03910167,-77.05091,96
39.036605,-77.06172,96
39.03885167,-77.050735,96
39.03984167,-77.05149333,96
39.05341,-77.050689,96
39.04961333,-77.05171667,96
39.05347833,-77.05083,96
39.03855333,-77.051755,96
39.053,-77.05,96
39.03717167,-77.05171,96
39.06315806,-77.0501259,96
39.06319659,-77.05016613,96
39.0580305,-77.04965785,96
39.06338667,-77.04991333,96
39.03997,-77.05110667,96
39.06159333,-77.05088667,96
39.04110833,-77.053285,96
39.042895,-77.0529,96
39.0372884,-77.05765218,96
39.05956,-77.047535,96
39.03860833,-77.054455,96
39.058355,-77.04861667,96
39.053245,-77.05103333,96
39.05656333,-77.05006667,96
39.04182333,-77.05241167,96
39.039435,-77.05494333,96
39.05325562,-77.05094397,96
39.03987167,-77.05632667,96
39.03668,-77.06152,96
39.03668,-77.06152,96
39.04195667,-77.051715,96
39.04029881,-77.05611527,96
39.05252,-77.05076,96
39.04119253,-77.05307499,96
39.05,-77.05,96
39.05998514,-77.08942294,95
39.06151591,-77.09187984,95
39.06005167,-77.089165,95
39.06003,-77.08921167,95
39.06028667,-77.08915833,95
39.08397741,-77.07787201,94
39.07672667,-77.0803,94
39.07991333,-77.080315,94
39.0777,-77.070905,94
39.089775,-77.07976,94
39.08431333,-77.078245,94
39.08044333,-77.08018333,94
39.08553333,-77.07890333,94
39.07991,-77.08024833,94
39.08391667,-77.07775833,94
39.0841,-77.08213833,94
39.07914963,-77.07280397,94
39.07908,-77.07245167,94
39.08396833,-77.07845,94
39.08200333,-77.077005,94
39.07884147,-77.07236409,94
39.08513759,-77.07868874,94
39.08771167,-77.07945667,94
39.07996167,-77.07373383,94
39.08308,-77.078195,94
39.08232689,-77.07722157,94
39.08438183,-77.07791626,94
39.08314096,-77.07761317,94
39.03623167,-77.03778167,93
39.03602,-77.03609333,93
39.036108,-77.036404,93
39.036108,-77.036404,93
39.03875,-77.04170667,93
39.00663644,-76.98018327,92
39.01147833,-76.97918,92
39.01791041,-76.97699413,92
39.02205333,-76.97723333,92
39.02158667,-76.97838,92
39.02051333,-76.97672333,92
39.01136446,-76.97909832,92
39.01515533,-76.9780485,92
39.01515533,-76.9780485,92
39.015665,-76.977605,92
39.02323333,-76.97833667,92
39.01540339,-76.97794229,92
39.01145616,-76.97879657,92
39.18114333,-77.26191833,91
39.18266182,-77.25869447,91
39.18418,-77.26321,91
39.18203333,-77.26057833,91
39.18467833,-77.26293833,91
39.17996167,-77.26466167,91
39.17876167,-77.26707333,91
39.181275,-77.237905,90
39.17847703,-77.23839954,90
39.176967,-77.2383821,90
39.17761156,-77.23842904,90
39.178895,-77.23851,90
39.17533667,-77.23818667,90
39.17842245,-77.23861814,90
39.18076775,-77.23862886,90
38.988125,-77.09497,89
38.98662833,-77.09057333,89
38.98352333,-77.093235,89
38.98281167,-77.09328167,89
38.98384333,-77.09389,89
38.98785167,-77.09937333,89
38.98103486,-77.09271938,89
38.98367333,-77.09318,89
38.97980167,-77.09194667,89
38.97723333,-77.09056,89
38.992025,-77.095665,89
38.97484667,-77.09015667,89
38.98339833,-77.09288333,89
38.98552833,-77.095945,89
38.98417667,-77.09098833,89
38.98397573,-77.09136084,89
38.98834667,-77.09484833,89
38.98731781,-77.0994705,89
38.98217167,-77.093205,89
38.97847962,-77.09127232,89
38.990655,-77.09964167,89
38.97686667,-77.09065,89
38.98105467,-77.09281325,89
38.97717641,-77.09067822,89
38.98573833,-77.09561667,89
38.82108639,-76.88654065,88
38.82108639,-76.88654065,88
38.82116998,-76.88661575,88
38.82116998,-76.88661575,88
38.82116998,-76.88661575,88
39.14376194,-77.22382441,87
39.144595,-77.22561167,87
39.144595,-77.22561167,87
39.144595,-77.22561167,87
39.14534667,-77.21987667,87
39.14588333,-77.22,87
39.14603767,-77.22830772,87
39.14614584,-77.20441461,86
39.14518272,-77.20309764,86
39.146945,-77.20524667,86
39.14748167,-77.205925,86
39.14612504,-77.20415711,86
39.13965754,-77.1964176,85
39.137645,-77.19422833,85
39.13965546,-77.196486,85
39.135705,-77.19216167,85
39.13928333,-77.196055,85
39.11727569,-77.16902018,84
39.11785837,-77.16986775,84
39.11931,-77.17144167,84
39.11742167,-77.16875167,84
39.116905,-77.16849167,84
39.11569,-77.166265,84
39.06286546,-77.12513924,83
39.05963317,-77.12222636,83
39.06215333,-77.12398333,83
39.059225,-77.12142833,83
39.06174,-77.12406167,83
39.06229667,-77.1241,83
39.06229667,-77.1241,83
39.07942833,-77.13807833,82
39.06837167,-77.12969333,82
