LIGHT_CODE,COUNTY_NO,MUNI_CODE,JUNCTION_CODE,COLLISION_TYPE_CODE,SURF_COND_CODE,LANE_CODE,RD_COND_CODE,RD_DIV_CODE,FIX_OBJ_CODE,REPORT_NO,WEATHER_CODE,ACC_DATE,ACC_TIME,LOC_CODE,SIGNAL_FLAG,C_M_ZONE_FLAG,AGENCY_CODE,AREA_CODE,HARM_EVENT_CODE1,HARM_EVENT_CODE2,RTE_NO,ROUTE_TYPE_CODE,RTE_SUFFIX,LOG_MILE,LOGMILE_DIR_FLAG,MAINROAD_NAME,DISTANCE,FEET_MILES_FLAG,DISTANCE_DIR_FLAG,REFERENCE_NO,REFERENCE_TYPE_CODE,REFERENCE_SUFFIX,REFERENCE_ROAD_NAME,LATITUDE,LONGITUDE
03,02,,00,17,00,,01,00,08,AC1982000H,00,02-28-2015,02:36:00,5C2,N,N,AACOPD,UNK,00,00,1111,CO,,0.62,N,RITA DR,50,F,N,1112,CO,,JUNE DR,39.07614296,-76.70177937
01,24,,01,06,02,2,01,02,00,ADE4590008,00,03-26-2015,11:00:00,1136,N,N,BALTIMORE,UNK,01,00,,,,,,1300 E MADISON ST,40,F,E,,,,700 EDEN ST,39.29893758,-76.59964085
03,24,,01,03,02,1,01,03,00,ADE9790001,06.01,03-19-2015,02:35:00,0266,N,N,BALTIMORE,UNK,01,00,1665,MU,,0.265,E,E BALTIMORE ST,20,F,E,,UU,,COMMERCE ST,39.28958831,-76.61024094
03,24,,01,03,02,1,01,04,00,ADE9840001,06.01,03-19-2015,05:20:00,0394,N,N,BALTIMORE,UNK,02,02,2210,MU,,0.306,W,W NORTH AVE,25,U,W,2010,MU,,N BENTALOU ST,39.30960241,-76.65413462
01,24,,01,07,02,2,01,02,00,ADI965000B,06.01,03-19-2015,14:00:00,CAD81554,N,N,BALTIMORE,UNK,01,01,,,,,,3400 POTEE ST,10,F,U,,,,100 BALTIC ST,39.24183857,-76.60788596
99,24,,01,02,99,1,02,01,00,ADJ0650007,99,03-12-2015,10:00:00,CAD10866,N,N,BALTIMORE,UNK,02,00,,,,,,WELLBOURNE RD,15,F,N,,,,NORTHWICK RD,39.34327565,-76.58792496
99,24,,01,03,02,1,02,02,00,ADJ0650009,06.01,03-13-2015,14:00:00,CAD2247,N,N,BALTIMORE,UNK,00,00,,,,,,4200 BLK BREHMS,60,F,N,,,,4400 BLK PARKSIDE DR,39.32389469,-76.56093657
01,24,,01,07,02,2,01,01,00,ADJ1200009,00,01-17-2015,12:32:00,CAD#1318,N,N,BALTIMORE,UNK,01,00,1810,MU,,0.246,S,FREMONT AVE,0,F,S,,UU,,LAURENS ST,39.30344986,-76.63717568
03,12,,01,17,02,1,01,01,05,ZL09470003,06.01,02-08-2015,03:10:00,PD50,N,N,HARFORD,UNK,88,09,1957,CO,,0,S,STEPNEY RD S,500,F,S,334,CO,,BUSH CHAPEL RD,39.51201252,-76.2064326
01,12,,01,88,04,1,01,01,07,ZL09470004,03,03-04-2015,07:15:00,1050 PD,N,N,HARFORD,UNK,16,09,451,CO,,0.13,E,HOOKERS MILL RD,1,M,E,244,CO,,LAUREL BUSH RD,39.47760478,-76.2750639
04,12,,02,03,00,1,01,01,00,ZL09470005,06.01,03-10-2015,00:33:00,1050 PD,N,N,HARFORD,UNK,01,16,7,MD,,2.77,E,PHILADELPHIA RD,0,F,E,283,CO,,CLAYTON RD,39.4391947,-76.3317747
03,12,,00,03,04,1,01,01,00,ZL0953000B,06.01,01-18-2015,23:03:00,,N,N,HARFORD,UNK,02,00,1621,CO,,0.26,W,WINDY BRANCH WAY,200,F,W,1760,CO,,CEDAR CREST CT,39.42604613,-76.32755715
03,12,,02,11,02,1,01,01,00,ZL0953000C,00,01-19-2015,22:26:00,,Y,N,HARFORD,UNK,01,01,508,CO,,2.2,S,JOPPA FARM RD,0,F,S,723,CO,,GARNETT RD,39.40631198,-76.3455112
01,12,,01,17,06.03,1,01,01,06,ZL0953000D,12.04,03-01-2015,15:49:00,,N,N,HARFORD,UNK,09,00,507,CO,,3.97,W,TRIMBLE RD,0,M,W,505,CO,,JOPPA RD,39.42202557,-76.35322182
01,12,,02,17,02,1,01,01,08,ZL0953000F,00,03-12-2015,16:48:00,,Y,N,HARFORD,UNK,09,00,2057,CO,,0,S,GILWAY CT,0,F,S,1002,CO,,BROOKSIDE DR,39.42829163,-76.31913543
04,12,,01,17,02,1,01,01,18.88,ZL0953000G,06.01,03-27-2015,23:50:00,,N,N,HARFORD,UNK,09,00,136,MD,,2.338,N,CALVARY RD,0,M,N,,UU,,ENT TO BUSINESS,39.50501752,-76.26966476
04,12,,01,17,03,1,01,01,10,ZL09540004,10.04,01-07-2015,21:00:00,,N,N,HARFORD,UNK,09,00,225,CO,,0.45,S,GRAFTON SHOP RD,0,M,S,231,CO,,ROCK SPRING CHURCH RD,39.56742045,-76.40023898
01,12,,02,11,02,1,01,01,00,ZL09540005,06.01,02-18-2015,16:30:00,,N,N,HARFORD,UNK,01,00,224,CO,,0.11,S,RED PUMP RD,0,F,S,928,CO,,ST FRANCIS RD,39.55703992,-76.37195003
03,12,,01,88,02,,01,01,00,ZL09550008,06.01,02-03-2015,00:08:00,,N,N,HARFORD,UNK,03,00,211,OP,,0.09,S,HARDWICKE PL,200,F,S,212,OP,,RUMSEY PL,39.42003897,-76.36749052
03,12,,01,03,01,1,01,01,00,ZL09560008,03,03-04-2015,23:08:00,,N,N,HARFORD,UNK,01,01,1002,CO,,0.25,W,BROOKSIDE DR,10,F,W,1220,OP,,SIMONS CT,39.43306902,-76.31355643
01,12,,03,03,01,1,01,01,00,ZL09580009,12.04,03-03-2015,15:52:00,12/ZL,N,N,HARFORD,UNK,01,00,1462,CO,,0,N,BRITTANY DR,0,F,N,1443,CO,,CHIMNEY OAK DR,39.39868388,-76.34160395
06.02,03,,01,07,04,1,88,02,00,ADF783000J,08.04,03-05-2015,17:15:00,CAD#1475,N,N,BALTIMORE,UNK,02,00,,,,,,FONT HILL AVENUE,60,F,,,,,FREDERICK AVENUE,39.27849792,-76.66347206
03,24,,01,17,02,,01,05.01,05,ADF796001B,06.01,01-03-2015,04:06:00,CAD#0410,N,N,BALTIMORE,UNK,09,09,144,MD,,0.372,E,FREDERICK RD,172,F,E,,UU,,NORTH BEND RD,39.2804807,-76.70613796
03,24,,01,99,00,,01,01,99,ADF8040001,06.01,01-02-2015,09:59:00,CAD#0558,N,N,BALTIMORE,UNK,02,00,2131,MU,,0.057,N,LIBERTY HEIGHTS AVE,12,F,N,,UU,,WOODBROOK AVE,39.31885875,-76.65158719
01,24,,01,07,02,1,01,01,00,ADG2930004,06.01,03-30-2015,14:30:00,1576,N,N,BALTIMORE,UNK,01,00,1050,MU,,0.69,S,ERDMAN AVE,75,F,S,1,US,,BELAIR RD,39.32186542,-76.57425642
03,24,,01,02,04,,01,88,00,ADG3450005,09.04,03-04-2015,00:37:00,CAD3407,N,N,BALTIMORE,UNK,02,01,2610,MU,,0,W,WINSTON AVE,2,F,W,467,MU,,THE ALAMEDA,39.35031138,-76.59883618
03,24,,01,02,01,1,01,03,00,ADG3450006,03,03-04-2015,17:58:00,CAD2021,N,N,BALTIMORE,UNK,01,01,1,US,,9.921,N,BELAIR RD,5,F,N,,UU,,VALLEYVIEW  AVE,39.33496129,-76.55606031
01,24,,01,88,02,1,01,02,00,ADG5820002,06.01,03-18-2015,11:04:00,CAD 933,N,N,BALTIMORE,UNK,02,00,,,,,,N. EXETER STREET,30,F,,,,,LOW STREET,39.29410534,-76.60586357
00,24,,02,11,02,1,01,01,00,ADG9020004,06.01,03-28-2015,00:00:00,CAD#1938,N,N,BALTIMORE,UNK,01,00,2600,MU,,0.625,S,NORTHWOOD DR,0,F,S,,UU,,MARLAU DR,39.36385815,-76.59879327
04,24,,00,10,01,,01,01,00,ADG9230003,03,02-10-2015,00:00:00,348,N,N,BALTIMORE,UNK,02,02,,,,,,4501 MANORVIEW  RD.,15,F,,,,,4500 MOUNTVIEW   RD,39.28696431,-76.69143677
03,24,,00,11,02,1,01,01,00,ADG9230005,06.01,02-17-2015,20:30:00,2234,N,N,BALTIMORE,UNK,02,02,,,,,,4900 CHALLEDON  RD.,10,F,,,,,2200 TUCKER  LANE,39.31237809,-76.7008996
01,24,,02,11,02,1,01,88,00,ADG9480004,06.01,01-19-2015,15:45:00,CAD#1684,Y,N,BALTIMORE,UNK,01,01,,MU,,0.36,N,N CALVERT ST,0,F,N,,MU,,E 24TH ST,39.31645166,-76.61410064
01,24,,01,88,02,1,01,04,00,ADG948000D,06.01,03-11-2015,07:30:00,CAD#0572,N,N,BALTIMORE,UNK,01,01,,MU,,1.22,N,ROLAND AVE,0,F,N,,MU,,W COLD SPRING LA,39.34390002,-76.63583189
03,24,,01,11,02,1,01,00,00,ADH0810002,06.01,01-30-2015,16:30:00,,N,N,BALTIMORE,UNK,02,01,1275,MU,,0.34,S,S CONKLING ST,9,F,S,,UU,,BANK ST,39.28754559,-76.56765819
